Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Detect noise as-timestamped-clip,Auto/Generated,,Detect noise as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise for-low-bandwidth,Auto/Generated,,Detect noise for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise in real-time,Auto/Generated,,Detect noise in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise on-recording,Auto/Generated,,Detect noise on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-audio-only-mode,Auto/Generated,,Detect noise with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-auto-archive,Auto/Generated,,Detect noise with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-clip-optimization,Auto/Generated,,Detect noise with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-confidence-score,Auto/Generated,,Detect noise with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-high-precision,Auto/Generated,,Detect noise with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-language-detection,Auto/Generated,,Detect noise with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-low-latency,Auto/Generated,,Detect noise with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-privacy-preserving-on-device,Auto/Generated,,Detect noise with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-source-link,Auto/Generated,,Detect noise with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-speaker-attribution,Auto/Generated,,Detect noise with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-translation,Auto/Generated,,Detect noise with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise with-visual-cue,Auto/Generated,,Detect noise with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect participant list with-audio-only-mode,Auto/Generated,,Detect participant list with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect poll result with-audio-only-mode,Auto/Generated,,Detect poll result with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect reaction with-audio-only-mode,Auto/Generated,,Detect reaction with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect screen-share with-audio-only-mode,Auto/Generated,,Detect screen-share with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect sensitive info with-audio-only-mode,Auto/Generated,,Detect sensitive info with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect slide with-audio-only-mode,Auto/Generated,,Detect slide with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect speaker with-audio-only-mode,Auto/Generated,,Detect speaker with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect sponsor logo with-audio-only-mode,Auto/Generated,,Detect sponsor logo with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect timestamp with-audio-only-mode,Auto/Generated,,Detect timestamp with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect transcript segment with-audio-only-mode,Auto/Generated,,Detect transcript segment with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect whiteboard with-audio-only-mode,Auto/Generated,,Detect whiteboard with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Echo cancellation,Audio,,Echo cancellation — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Generic AI Tool,,Audio,https://huggingface.co/models
Extract audio track,Auto/Generic,,Extract audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Generate audio track,Auto/Generic,,Generate audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Real-time noise suppression,Audio,,Real-time noise suppression — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Remove audio track,Auto/Generic,,Remove audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Replace audio track,Auto/Generic,,Replace audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Speaker separation (isolate voices),Audio,,Speaker separation (isolate voices) — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Summarize audio track,Auto/Generic,,Summarize audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Text-to-speech AI narrator,Speech → Text & Text → Speech,,Text-to-speech AI narrator — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Generic AI Tool,,Audio,https://huggingface.co/models
Translate audio track,Auto/Generic,,Translate audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Voice cloning (synthesize user voice),Audio,,Voice cloning (synthesize user voice) — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Voice enhancement (studio),Audio,,Voice enhancement (studio) — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
